Title,Author,Reviews,Rating
A Technique for Producing Ideas,James  Webb Young,175,4.1
A Thousand Splendid Suns,Khaled Hosseini,4759,4.7
All the Weight of Our Dreams: On Living Racialized Autism,Brown,14,4.9
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,916,4.9
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,2390,4.8
Becoming,Michelle Obama,12558,4.9
Blindness (Harvest Book),Jose Saramago,700,3.7
Bullshit Jobs: A Theory,David Graeber,71,3.7
CIRCE,Madeline Miller,1486,4.6
The Communist Manifesto,Karl Marx,1704,3.8
Dracula (Wordsworth Classics),Bram Stoker,2720,4.4
Eligible for Execution: The Story of the Daryl Atkins Case,Thomas G. Walker,9,4.1
Embassytown: A Novel,China Miéville,287,3.9
Everything That Rises Must Converge: Stories (FSG Classics),Flannery O'Connor,84,4.2
Factfulness: Ten Reasons We're Wrong About the World--and Why Things Are Better Than You Think,Hans Rosling,979,4.6
Fire and Fury: Inside the Trump White House,Michael Wolff,9902,4.2
Go Set a Watchman: A Novel,Harper Lee,11867,3.5
Grit: The Power of Passion and Perseverance,Angela Duckworth,1183,4.5
Letters to a Young Contrarian (Art of Mentoring (Paperback)),Christopher Hitchens,171,4.5
Negroland: A Memoir,Margo Jefferson,230,3.7
O Jerusalem!,Larry Collins,152,4.7
Our Iceberg Is Melting: Changing and Succeeding Under Any Conditions,Holger Rathgeber,461,4.4
Perfect Pitch: The Art of Selling Ideas and Winning New Business,Jon Steel,27,4.4
Physics for Future Presidents: The Science Behind the Headlines,Richard A. Muller,203,4.0
Rocks of Ages: Science and Religion in the Fullness of Life,Stephen Jay Gould,66,3.4
Ruined,Amy Tintera,174,4.4
Slade House: A Novel,David Mitchell,601,4.0
T.rex and the Crater of Doom (Princeton Science Library),Walter Alvarez,84,4.5
Adventures of Huckleberry Finn,Mark Twain,4490,4.3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,20996,4.8
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,4024,4.6
The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Richard Preston,1791,4.7
The Idiot,Elif Batuman,224,3.5
The Man Who Mistook His Wife for a Hat: And Other Clinical Tales,Oliver Sacks,780,4.2
The Meaning of Human Existence,Edward O. Wilson,405,4.2
The Moonstone (Dover Thrift Editions),Wilkie Collins,1064,4.2
"The Nature Fix: Why Nature Makes us Happier, Healthier, and More Creative",Florence Williams,122,4.4
The Shallows: What the Internet Is Doing to Our Brains,Nicholas Carr,614,4.3
The Sixth Extinction: An Unnatural History,Elizabeth Kolbert,1691,4.5
The Storytelling Animal: How Stories Make Us Human,Jonathan Gottschall,198,4.1
The Uninhabitable Earth: Life After Warming,David Wallace-Wells,233,4.3
"The Unwinding of the Miracle: A Memoir of Life, Death, and Everything That Comes After",Julie Yip-Williams,138,4.6
The Vulnerable Observer: Anthropology That Breaks Your Heart,Ruth Behar,10,4.0
The Wonderful Wizard of Oz (Dover Children's Evergreen Classics),L. Frank Baum,3543,4.5
Thick: And Other Essays,Tressie McMillan Cottom,61,4.8
"Thinking, Fast and Slow",Daniel Kahneman,3118,4.5
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson, 20th Anniversary Edition",Mitch Albom,3836,4.8
We,Yevgeny Zamyatin,415,4.0
